 LUCES , NDVI , ZURBANA , AREA , TEMPERATURA , DENSIDAD 
63,0.11,0.76,0.28,32.18,11778
62,0.08,0.63,0.27,32.34,21098
62,0.18,0.59,0.36,31.89,11670
62,0.18,0.59,0.46,31.89,7721
63,0.12,0.75,0.12,32.11,26088
63,0.12,0.75,0.05,32.11,24250
61,0.19,0.56,0.43,30.37,16383
63,0.15,0.81,0.65,30.13,7724
62,0.18,0.59,0.25,31.89,9579
62,0.19,0.53,0.37,31.23,18449
62,0.19,0.53,1.25,31.23,4010
62,0.18,0.59,0.29,31.89,5999
63,0.08,0.63,0.56,32.34,20597
63,0.08,0.63,0.61,32.34,13935
62,0.08,0.63,0.24,32.34,26836
62,0.08,0.63,0.29,32.34,23171
63,0.11,0.76,0.42,32.18,11565
62,0.1,0.73,0.14,33.14,14331
63,0.11,0.76,0.23,32.18,17249
63,0.11,0.76,0.21,32.18,22352
62,0.1,0.73,0.3,33.14,9506
62,0.12,0.51,0.27,32.51,21618
62,0.12,0.51,0.2,32.51,26622
63,0.38,0.2,0.3,26.71,15365
63,0.15,0.81,0.21,30.13,16937
63,0.15,0.81,0.29,30.13,16129
62,0.12,0.75,0.27,32.11,16948
60,0.12,0.75,0.26,32.11,15203
62.67,0.15,0.81,0.32,30.13,12244
63,0.08,0.75,0.2,31.64,12612
63,0.19,0.56,0.2,30.37,19162
63,0.19,0.56,0.13,30.37,26083
63,0.19,0.56,0.14,30.37,22249
63,0.19,0.56,0.32,30.37,13578
62,0.14,0.56,0.21,32.29,27519
62,0.16,0.39,0.86,33.32,4720
62,0.16,0.39,0.32,33.32,20512
62,0.12,0.75,0.59,32.11,8647
62.33,0.12,0.75,0.65,32.11,7121
62,0.18,0.59,0.18,31.89,20950
62,0.18,0.59,0.23,31.89,13609
62,0.19,0.53,0.19,31.23,19438
62,0.19,0.53,0.2,31.23,18718
62,0.19,0.53,0.17,31.23,28415
63,0.08,0.75,0.43,31.64,14323
63,0.19,0.56,0.33,30.37,3831
63,0.08,0.75,0.36,31.64,11703
62,0.18,0.59,0.42,31.89,3060
62,0.18,0.59,1.08,31.89,4553
62,0.16,0.64,1.4,31.97,3128
62,0.08,0.75,0.41,31.64,15409
62,0.08,0.75,0.37,31.64,19610
63,0.08,0.63,0.58,32.34,7360
62,0.08,0.63,0.71,32.34,7948
62,0.08,0.63,0.11,32.34,26345
63,0.08,0.75,1.04,31.64,4135
63,0.08,0.63,0.34,32.34,17519
63,0.08,0.75,0.23,31.64,18001
63,0.08,0.75,0.37,31.64,14219
63,0.19,0.56,0.31,30.37,20731
63,0.19,0.56,0.3,30.37,21342
63,0.19,0.56,0.4,30.37,18663
62,0.16,0.39,0.24,33.32,19469
62,0.16,0.39,0.25,33.32,18758
62.6,0.19,0.56,0.99,30.37,3077
63,0.2,0.62,0.58,32.29,6365
63,0.12,0.75,0.3,32.11,19126
63,0.12,0.75,0.15,32.11,24260
62,0.14,0.67,0.52,31.82,12199
62,0.16,0.62,0.52,32.41,8915
62,0.12,0.75,0.28,32.11,15491
62,0.19,0.53,1.13,31.23,6011
62,0.16,0.62,0.39,32.41,9215
62,0.12,0.75,0.23,32.11,16474
61,0.12,0.75,0.23,32.11,24023
62,0.1,0.73,0.18,33.14,19266
63,0.19,0.56,0.19,30.37,18297
63,0.19,0.56,0.49,30.37,4889
63,0.15,0.81,0.44,30.13,14544
