ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,CVEGEO,luces,ndvi,zurbana,Datos,AREA,DENSIDAD,POBTOT,TOTHOG,VIVTOT,TVIVHAB,TEMPERATURA
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,772,1.50E+12,63,0.156281383,0.792734077,1,0.316172014,10671.40624,3374,878,980,881,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,787,1.50E+12,63,0.210887711,0.554232645,1,0.899555966,1937.622635,1743,463,530,464,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,791,1.50E+12,63,0.210887711,0.554232645,1,0.458288907,499.6847984,229,66,74,66,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,895,1.50E+12,63,0.282554285,0.479667899,1,1.575874182,3191.879185,5030,1489,1729,1503,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,912,1.50E+12,63,0.277504992,0.100209867,1,0.434549555,17988.74241,7817,2060,2460,2108,28.7064
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,927,1.50E+12,63,0.136783734,0.879795499,1,0.334524454,20838.53638,6971,1769,1862,1783,30.8802
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,931,1.50E+12,63,0.249676057,0.348999348,1,2.024788428,4758.027983,9634,2229,2404,2252,29.62631429
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,946,1.50E+12,63,0.154016098,0.601801981,1,0.185910303,15625.81498,2905,761,795,761,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,965,1.50E+12,63,0.156281383,0.792734077,1,0.363971048,11849.84361,4313,1092,1263,1112,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,999,1.50E+12,63,0.210887711,0.554232645,1,0.293083713,14698.87207,4308,1245,1365,1252,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1003,1.50E+12,63,0.282554285,0.479667899,1,0.416681548,16276.21871,6782,1709,1775,1709,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1018,1.50E+12,63,0.282554285,0.479667899,1,0.541793995,19129.04185,10364,2694,2809,2697,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1037,1.50E+12,63,0.210887711,0.554232645,1,0.68264175,6303.452722,4303,1341,1490,1353,29.9644
