ENTIDAD,MUN,LOC,AGEB, LUCES , NDVI , ZURBANA , AREA , DENSIDAD , TEMPERATURA ,POBTOT,TOTHOG,VIVTOT,TVIVHAB
15,31,1,104A, 63.00 , 0.16 , 0.50 , 0.88 ," 18,750.21 ", 31.56 ,16477,3660,4050,3660
15,31,1,1213, 63.00 , 0.14 , 0.62 , 0.17 ," 17,877.75 ", 29.98 ,3059,700,821,700
15,31,1,1302, 63.00 , 0.08 , 0.61 , 0.08 ," 12,013.70 ", 32.41 ,1019,257,278,258
15,31,1,1317, 63.00 , 0.19 , 0.50 , 0.29 ," 14,027.26 ", 31.00 ,4019,938,1029,948
15,31,1,1336, 63.00 , 0.19 , 0.50 , 0.52 ," 16,598.16 ", 31.00 ,8617,2047,2305,2061
15,31,1,1340, 63.00 , 0.19 , 0.50 , 0.65 ," 9,995.31 ", 31.00 ,6499,1524,1834,1538
15,31,1,1355, 63.00 , 0.19 , 0.50 , 0.29 ," 1,348.51 ", 31.00 ,391,93,148,93
15,31,1,136A, 63.00 , 0.19 , 0.50 , 0.89 ," 4,908.95 ", 31.00 ,4376,1066,1240,1074
15,31,1,1374, 63.00 , 0.19 , 0.50 , 0.75 ," 9,751.94 ", 31.00 ,7272,1663,1865,1670
15,31,1,1389, 63.00 , 0.19 , 0.50 , 0.60 ," 11,237.46 ", 31.00 ,6753,1653,2121,1707
15,31,1,1406, 63.00 , 0.19 , 0.50 , 0.53 ," 6,583.36 ", 31.00 ,3494,805,996,822
15,31,1,1410, 63.00 , 0.15 , 0.50 , 0.32 ," 11,344.55 ", 31.93 ,3620,848,1019,855
15,31,1,1444, 63.00 , 0.19 , 0.52 , 0.40 ," 7,358.13 ", 31.52 ,2980,667,769,670
15,31,1,1459, 63.00 , 0.18 , 0.47 , 0.54 ," 6,374.01 ", 29.71 ,3440,757,971,763
15,31,1,1463, 63.00 , 0.18 , 0.47 , 0.48 ," 8,096.43 ", 29.71 ,3859,859,1091,864
15,31,1,1478, 54.00 , 0.18 , 0.47 , 0.29 ," 7,532.69 ", 29.71 ,2206,489,620,494
15,31,1,1482, 54.00 , 0.18 , 0.47 , 0.93 ," 4,295.88 ", 29.71 ,4003,885,1163,887
